Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Net migration,SM.POP.NETM,Afghanistan,AFG,-666001,-1007135,255611,-281739,-90238,-47090,-47205,-8082,166821,-183672,-65846,-65846
Net migration,SM.POP.NETM,Albania,ALB,-52723,-63610,-14265,-12240,-10887,-9768,-9106,-8889,-9117,-10612,-8000,-8000
Net migration,SM.POP.NETM,Algeria,DZA,-21641,-18994,-36088,-36371,-36227,-36448,-36227,-36386,-18797,-18797,-9999,-9999
Net migration,SM.POP.NETM,American Samoa,ASM,-251,-1158,-1602,-1629,-1641,-1652,-1652,-1650,-1636,-1646,-810,-790
Net migration,SM.POP.NETM,Andorra,AND,1589,146,-84,-232,1303,887,1184,1238,1474,1377,200,200
Net migration,SM.POP.NETM,Angola,AGO,47663,53527,84532,74170,91623,77733,61632,58986,7557,29089,-1000,-1000
Net migration,SM.POP.NETM,Antigua and Barbuda,ATG,-1145,271,108,60,16,0,0,0,0,0,0,0
Net migration,SM.POP.NETM,Argentina,ARG,6021,-22770,5801,5522,5215,4926,4690,4478,2344,2344,3886,3718
Net migration,SM.POP.NETM,Armenia,ARM,2119,-51873,-27763,-27283,-26804,-26326,-25835,-25363,-12825,-12825,-5000,-5000
Net migration,SM.POP.NETM,Aruba,ABW,879,1235,88,177,170,218,367,412,0,501,164,157
Net migration,SM.POP.NETM,Australia,AUS,95996,109375,198120,209466,242184,244875,220307,235860,117929,117929,139991,139991
Net migration,SM.POP.NETM,Austria,AUT,59606,17531,74263,115125,66282,45573,35404,41105,20314,20314,19999,19999
Net migration,SM.POP.NETM,Azerbaijan,AZE,-28017,15938,1084,1084,1484,1184,1583,392,1084,1084,0,0
Net migration,SM.POP.NETM,"Bahamas, The",BHS,241,843,1001,1001,1001,1001,1001,1001,0,485,1000,1000
Net migration,SM.POP.NETM,Bahrain,BHR,4605,6264,36320,29250,29052,29024,-3601,-17127,-48716,-9150,0,0
Net migration,SM.POP.NETM,Bangladesh,BGD,-200144,-424718,-219628,-286512,-55013,-175755,-323380,-344054,-61154,-174500,-309977,-309977
Net migration,SM.POP.NETM,Barbados,BRB,-1295,-833,-65,-65,-65,-65,-65,-65,0,-28,-80,-80
Net migration,SM.POP.NETM,Belarus,BLR,4246,-10419,12222,13681,15258,15937,15731,15082,13589,12961,30308,-4282
Net migration,SM.POP.NETM,Belgium,BEL,6752,32262,57103,57008,56781,56248,55439,54395,53428,52356,23999,23999
Net migration,SM.POP.NETM,Belize,BLZ,-1793,1678,1452,1363,1283,1222,1185,1164,0,577,600,600
Net migration,SM.POP.NETM,Benin,BEN,-337,3337,3667,3366,3827,3716,3368,3363,1732,1732,-200,-200
Net migration,SM.POP.NETM,Bermuda,BMU,-96,-67,-233,-315,0,227,306,290,291,291,0,0
Net migration,SM.POP.NETM,Bhutan,BTN,-996,6069,-870,-1171,-521,291,291,291,291,291,300,300
Net migration,SM.POP.NETM,Bolivia,BOL,-21915,-17675,-10972,-10525,-10071,-9669,-9345,-8978,-4666,-4666,-3000,-3000
Net migration,SM.POP.NETM,Bosnia and Herzegovina,BIH,-22827,8141,-35709,-33976,-32195,-30669,-29154,-27848,-26857,-25865,-500,-500
Net migration,SM.POP.NETM,Botswana,BWA,4144,7970,1138,2145,3129,3761,3819,2933,1816,1816,3000,3000
Net migration,SM.POP.NETM,Brazil,BRA,6457,-1761,24940,4764,82589,56362,67934,69186,56880,20376,6425,6000
Net migration,SM.POP.NETM,British Virgin Islands,VGB,381,326,260,302,275,281,221,253,272,128,200,200
Net migration,SM.POP.NETM,Brunei Darussalam,BRN,1670,1660,-444,-485,-539,-587,-638,-587,-395,-192,0,0
Net migration,SM.POP.NETM,Bulgaria,BGR,-29479,-11295,-15527,-15356,-14947,-13560,-12115,-11439,-9902,-8716,-4800,-4800
Net migration,SM.POP.NETM,Burkina Faso,BFA,-33043,3880,-18009,-19754,-7603,-14801,-23971,-25277,-5665,-13097,-24998,-24998
Net migration,SM.POP.NETM,Burundi,BDI,-39996,-40114,-6856,-236447,-109490,-68450,68145,14241,-10186,-14415,2000,2000
Net migration,SM.POP.NETM,Cabo Verde,CPV,-3499,-2722,-1534,-1474,-1408,-1354,-1323,-1296,-1274,-1274,-1256,-1227
Net migration,SM.POP.NETM,Cambodia,KHM,56166,-4248,-48942,-52272,-40577,-45720,-51685,-55607,-22308,-24262,-29998,-29998
Net migration,SM.POP.NETM,Cameroon,CMR,-8163,-21221,96607,42007,13251,-37910,-9185,-12254,-9889,-9889,-4800,-4800
Net migration,SM.POP.NETM,Canada,CAN,145270,201617,195649,232738,320494,361274,417974,391914,195181,195181,248586,249746
Net migration,SM.POP.NETM,Cayman Islands,CYM,1010,1020,980,1079,1077,1106,1054,973,766,276,400,400
Net migration,SM.POP.NETM,Central African Republic,CAF,2000,8082,-174543,-63213,-52758,-58734,-53083,-36942,-24803,-85860,-17463,-14716
Net migration,SM.POP.NETM,Chad,TCD,-58912,-3839,20842,-48918,21546,16916,46664,-9469,9016,9016,-2000,-2000
Net migration,SM.POP.NETM,Channel Islands,CHI,864,60,543,1396,1180,1429,2353,1566,1362,1242,900,900
Net migration,SM.POP.NETM,Chile,CHL,-5253,5790,52709,55709,126525,214697,237358,230162,98439,113709,-66850,-71205
Net migration,SM.POP.NETM,China,CHN,-290067,-549792,-198432,-155379,-153054,-180592,-296674,-302609,-33649,-200194,-311380,-310220
Net migration,SM.POP.NETM,Colombia,COL,-17237,-31116,-67516,-41064,79978,415618,494364,395803,229437,211978,-167924,-175051
Net migration,SM.POP.NETM,Comoros,COM,-1194,-2971,-1569,-1349,-1136,-2922,-2919,-2917,-1772,-1772,-2000,-2000
Net migration,SM.POP.NETM,"Congo, Dem. Rep.",COD,183750,-48028,36966,47831,173022,4350,-124242,-144916,-1643,-64643,-14999,-14999
Net migration,SM.POP.NETM,"Congo, Rep.",COG,-400,79780,-21600,-18219,-14788,-11604,-8858,-6271,-4465,-4466,-1000,-1000
Net migration,SM.POP.NETM,Costa Rica,CRI,7941,13590,3996,4065,4150,4196,4198,4154,2084,2084,3850,3750
Net migration,SM.POP.NETM,Cote d'Ivoire,CIV,62979,-63877,-23011,-21498,-20148,-18758,-17190,-15520,-12301,-21000,6000,6000
Net migration,SM.POP.NETM,Croatia,HRV,-7183,-50791,-12849,-13408,-13569,-13654,-13171,-12480,-11592,-10402,-2000,-2000
Net migration,SM.POP.NETM,Cuba,CUB,-15438,-24942,-14543,-14372,-14454,-14498,-14219,-13686,-7068,-7068,-6000,-6000
Net migration,SM.POP.NETM,Curacao,CUW,-2447,-2632,1065,844,647,535,25591,-9592,997,502,515,515
Net migration,SM.POP.NETM,Cyprus,CYP,2551,11577,4467,4655,4878,5014,4977,4948,2999,1995,5000,5000
Net migration,SM.POP.NETM,Czechia,CZE,-4187,4195,5009,5297,-300,2809,3193,4030,3621,3621,22011,22011
Net migration,SM.POP.NETM,Denmark,DNK,9449,12536,21670,22368,22859,23188,23337,23305,23076,22746,19999,19999
Net migration,SM.POP.NETM,Djibouti,DJI,49970,5627,1900,1723,1623,1535,1435,1322,744,742,900,900
Net migration,SM.POP.NETM,Dominica,DMA,-1553,-994,1445,-393,179,187,194,326,100,57,-40,-40
Net migration,SM.POP.NETM,Dominican Republic,DOM,-27399,-30231,-30449,-30310,-30181,-30055,-29944,-29830,-14966,-14966,-29294,-29099
Net migration,SM.POP.NETM,Ecuador,ECU,-15159,-41899,2288,14740,27063,49359,153372,71801,35894,35894,-20206,-21525
Net migration,SM.POP.NETM,"Egypt, Arab Rep.",EGY,6995,-2815,5961,-79150,4132,-23281,-61050,-59715,4476,-32370,-29998,-29998
Net migration,SM.POP.NETM,El Salvador,SLV,-39690,-97219,-49130,-51282,-47499,-50616,-54158,-55143,-25214,-27343,-23249,-23249
Net migration,SM.POP.NETM,Equatorial Guinea,GNQ,3506,15352,18051,17694,17109,16395,15583,14695,0,6486,4000,4000
Net migration,SM.POP.NETM,Eritrea,ERI,-12442,-33196,-75830,-53049,-55530,-38636,-21435,-29849,-14987,-14988,-17152,-15297
Net migration,SM.POP.NETM,Estonia,EST,-2798,-3230,-562,4308,1164,5329,7229,5410,2995,2995,-1000,-1000
Net migration,SM.POP.NETM,Eswatini,SWZ,7169,-6689,-10586,-10464,-10295,-10127,-9956,-9796,-4897,-4897,-5733,-5268
Net migration,SM.POP.NETM,Ethiopia,ETH,296018,-49892,103119,62784,115812,71769,9309,-10803,38867,-1391,-11999,-11999
Net migration,SM.POP.NETM,Faroe Islands,FRO,-1147,332,-111,542,537,622,653,580,498,0,0,0
Net migration,SM.POP.NETM,Fiji,FJI,-10612,-6081,-11023,-11047,-11139,-11605,-11738,-11865,-6003,-6003,-3557,-3289
Net migration,SM.POP.NETM,Finland,FIN,8864,2428,15950,12433,17210,13307,11646,15558,17482,14928,13999,13999
Net migration,SM.POP.NETM,France,FRA,11404,102857,26585,18807,14729,13175,14391,17403,18335,20614,66601,67761
Net migration,SM.POP.NETM,French Polynesia,PYF,-904,-460,-1668,-1676,-1687,-1046,-952,-861,-378,-378,-100,-100
Net migration,SM.POP.NETM,Gabon,GAB,995,3086,16566,12041,7395,4019,2893,2230,1514,1516,1000,1000
Net migration,SM.POP.NETM,"Gambia, The",GMB,11239,-3676,-2797,-3224,-3477,-3694,-3936,-4186,-1960,-1960,-3000,-3000
Net migration,SM.POP.NETM,Georgia,GEO,-108964,-135044,-16045,-13317,-10591,-7886,-5174,-5414,-2734,-2734,-9999,-9999
